DATE;DEC;INC;HOR;TOT;X;Y;Z
1900;3.56301;60.33428;23521.5;47524.1;23476.1;1461.8;41295
1901;3.64207;60.36261;23497.7;47517.3;23450.3;1492.7;41300.7
1902;3.72129;60.39089;23474;47510.5;23424.5;1523.5;41306.4
1903;3.80066;60.41914;23450.3;47503.7;23398.7;1554.4;41312
1904;3.8802;60.44734;23426.6;47496.9;23372.9;1585.3;41317.7
1905;3.9599;60.47551;23403;47490.2;23347.1;1616.2;41323.4
1906;4.0552;60.52261;23369.2;47490.6;23310.7;1652.6;41342.9
1907;4.15077;60.56964;23335.4;47491;23274.2;1689;41362.5
1908;4.24662;60.6166;23301.8;47491.5;23237.8;1725.5;41382
1909;4.34274;60.66348;23268.2;47492.1;23201.4;1761.9;41401.6
1910;4.43914;60.7103;23234.7;47492.7;23165;1798.4;41421.1
1911;4.54183;60.79113;23182.2;47505.1;23109.4;1835.7;41464.7
1912;4.64499;60.87184;23129.9;47517.6;23053.9;1873.1;41508.2
1913;4.74861;60.95243;23077.6;47530.2;22998.4;1910.5;41551.7
1914;4.85271;61.03289;23025.4;47543;22942.9;1947.8;41595.3
1915;4.95727;61.11323;22973.3;47555.9;22887.4;1985.2;41638.8
1916;5.03436;61.20604;22917.8;47580.8;22829.4;2011.1;41697.8
1917;5.11182;61.29871;22862.4;47605.9;22771.5;2037;41756.8
1918;5.18966;61.39124;22807;47631.1;22713.5;2063;41815.8
1919;5.26788;61.48362;22751.7;47656.4;22655.6;2088.9;41874.8
1920;5.34647;61.57586;22696.3;47681.9;22597.6;2114.8;41933.8
1921;5.41039;61.6632;22652.5;47724.2;22551.5;2135.9;42005.5
1922;5.47456;61.75036;22608.6;47766.6;22505.5;2156.9;42077.3
1923;5.53898;61.83733;22564.8;47809.1;22459.4;2178;42149
1924;5.60365;61.92412;22521;47851.7;22413.3;2199.1;42220.8
1925;5.66857;62.01073;22477.2;47894.5;22367.3;2220.2;42292.5
1926;5.71507;62.09241;22442.9;47950.1;22331.3;2234.9;42373.7
1927;5.76171;62.17389;22408.6;48005.9;22295.4;2249.6;42454.9
1928;5.80849;62.25516;22374.4;48061.7;22259.5;2264.4;42536
1929;5.85542;62.33623;22340.2;48117.7;22223.6;2279.1;42617.2
1930;5.90249;62.41709;22306;48173.7;22187.7;2293.9;42698.4
1931;5.92867;62.48593;22285.6;48240.8;22166.4;2301.9;42784.6
1932;5.9549;62.55457;22265.3;48307.9;22145.1;2309.9;42870.8
1933;5.98117;62.62301;22244.9;48375.1;22123.8;2318;42957.1
1934;6.00749;62.69126;22224.6;48442.3;22102.6;2326;43043.3
1935;6.03386;62.75932;22204.3;48509.7;22081.3;2334;43129.5
1936;6.05306;62.82144;22193.1;48587.6;22069.4;2340.3;43223
1937;6.07227;62.88335;22182;48665.7;22057.5;2346.5;43316.4
1938;6.09151;62.94507;22170.8;48743.8;22045.7;2352.7;43409.8
1939;6.11076;63.00659;22159.7;48821.9;22033.8;2358.9;43503.2
1940;6.13003;63.0679;22148.6;48900.2;22021.9;2365.1;43596.6
1941;6.16181;63.14161;22125.7;48973.7;21997.9;2374.9;43690.7
1942;6.19365;63.21509;22102.8;49047.4;21973.8;2384.7;43784.9
1943;6.22555;63.28835;22080;49121.2;21949.8;2394.4;43879
1944;6.25752;63.36138;22057.2;49195;21925.7;2404.2;43973.1
1945;6.28956;63.43418;22034.3;49268.9;21901.7;2413.9;44067.2
1946;6.30481;63.44244;22049.4;49316.9;21916.1;2421.4;44113.3
1947;6.32003;63.45068;22064.5;49364.9;21930.4;2428.9;44159.3
1948;6.33524;63.45891;22079.6;49412.8;21944.8;2436.4;44205.4
1949;6.35042;63.46712;22094.7;49460.8;21959.1;2443.9;44251.5
1950;6.36558;63.47531;22109.8;49508.8;21973.5;2451.4;44297.6
1951;6.38865;63.50019;22114.1;49561.5;21976.7;2460.7;44354.3
1952;6.41171;63.52502;22118.4;49614.2;21980;2470;44411.1
1953;6.43476;63.54979;22122.6;49666.9;21983.3;2479.3;44467.9
1954;6.4578;63.5745;22126.9;49719.6;21986.5;2488.6;44524.6
1955;6.48083;63.59916;22131.2;49772.4;21989.8;2498;44581.4
1956;6.47456;63.61888;22127.4;49798.3;21986.2;2495.1;44612.2
1957;6.4683;63.63858;22123.5;49824.2;21982.7;2492.3;44643
1958;6.46203;63.65827;22119.7;49850.1;21979.1;2489.5;44673.8
1959;6.45576;63.67793;22115.8;49876;21975.6;2486.6;44704.6
1960;6.44949;63.69757;22112;49901.9;21972;2483.8;44735.4
1961;6.45043;63.70949;22117.8;49936.1;21977.8;2484.8;44770.7
1962;6.45137;63.7214;22123.7;49970.4;21983.6;2485.8;44806
1963;6.45232;63.73329;22129.5;50004.6;21989.4;2486.8;44841.3
1964;6.45326;63.74516;22135.4;50038.8;21995.1;2487.9;44876.6
1965;6.4542;63.75702;22141.3;50073.1;22000.9;2488.9;44911.9
1966;6.41196;63.75164;22147.2;50077.1;22008.7;2473.3;44913.4
1967;6.36973;63.74625;22153.2;50081.1;22016.5;2457.8;44914.9
1968;6.32754;63.74085;22159.2;50085.1;22024.2;2442.2;44916.4
1969;6.28536;63.73544;22165.3;50089.1;22032;2426.7;44917.9
1970;6.24321;63.73002;22171.3;50093.1;22039.8;2411.1;44919.4
1971;6.20954;63.72662;22174.2;50093.7;22044.1;2398.5;44918.6
1972;6.17588;63.72321;22177.1;50094.2;22048.4;2385.8;44917.8
1973;6.14223;63.71979;22180;50094.8;22052.7;2373.2;44916.9
1974;6.10858;63.71637;22183;50095.3;22057;2360.6;44916.1
1975;6.07495;63.71294;22185.9;50095.9;22061.3;2347.9;44915.3
1976;6.08549;63.7274;22184.6;50118.6;22059.6;2351.8;44941.2
1977;6.09603;63.74185;22183.3;50141.3;22057.9;2355.8;44967.2
1978;6.10657;63.75629;22182;50164;22056.2;2359.7;44993.2
1979;6.11712;63.77071;22180.8;50186.7;22054.5;2363.6;45019.1
1980;6.12766;63.78512;22179.5;50209.5;22052.7;2367.5;45045.1
1981;6.1432;63.80891;22162.6;50213.6;22035.3;2371.7;45058
1982;6.15876;63.83269;22145.7;50217.8;22017.9;2375.9;45071
1983;6.17434;63.85647;22128.8;50221.9;22000.5;2380;45083.9
1984;6.18995;63.88025;22112;50226.1;21983.1;2384.2;45096.8
1985;6.20558;63.90402;22095.1;50230.3;21965.6;2388.4;45109.7
1986;6.22496;63.92;22085;50235.9;21954.8;2394.7;45120.9
1987;6.24437;63.93597;22074.9;50241.5;21943.9;2401.1;45132.1
1988;6.26379;63.95194;22064.7;50247.1;21933;2407.4;45143.3
1989;6.28322;63.96791;22054.6;50252.7;21922.2;2413.7;45154.5
1990;6.30268;63.98386;22044.5;50258.3;21911.3;2420.1;45165.7
1991;6.3277;64.00203;22036.5;50272.8;21902.3;2428.8;45185.7
1992;6.35274;64.02018;22028.5;50287.2;21893.3;2437.4;45205.6
1993;6.37779;64.03832;22020.6;50301.7;21884.3;2446.1;45225.6
1994;6.40286;64.05644;22012.6;50316.2;21875.3;2454.8;45245.6
1995;6.42796;64.07455;22004.6;50330.6;21866.3;2463.5;45265.5
1996;6.48227;64.09475;22000.2;50357;21859.5;2483.7;45297
1997;6.5366;64.11491;21995.7;50383.3;21852.7;2503.9;45328.4
1998;6.59095;64.13503;21991.3;50409.7;21846;2524.2;45359.9
1999;6.64532;64.15511;21986.9;50436.1;21839.2;2544.4;45391.3
2000;6.75818;64.1321;22009.4;50445.9;21856.5;2590.1;45391.3
2001;6.82101;64.15907;22004.6;50483.8;21848.8;2613.4;45435.8
2002;6.88386;64.18597;21999.8;50521.8;21841.2;2636.8;45480.3
2003;6.94675;64.21281;21995;50559.8;21833.5;2660.2;45524.8
2004;7.00966;64.23958;21990.2;50597.8;21825.9;2683.6;45569.3
2005;7.07259;64.26628;21985.5;50635.8;21818.2;2707;45613.8
2006;7.1556;64.30084;21974.6;50674.1;21803.5;2737.3;45661.6
2007;7.23869;64.33531;21963.8;50712.5;21788.7;2767.5;45709.4
2008;7.32186;64.36967;21953;50751;21774;2797.8;45757.3
2009;7.40511;64.40394;21942.2;50789.4;21759.2;2828;45805.1
2010;7.48844;64.43811;21931.5;50828;21744.5;2858.3;45852.9
2011;7.57665;64.47514;21921.2;50872.6;21729.8;2890.4;45907.4
2012;7.66494;64.51206;21910.8;50917.4;21715.1;2922.5;45961.9
2013;7.75331;64.54885;21900.5;50962.2;21700.3;2954.6;46016.4
2014;7.84177;64.58554;21890.3;51007;21685.6;2986.7;46070.9
2015;7.93031;64.6221;21880.1;51051.8;21670.9;3018.8;46125.4
2016;8.01814;64.66907;21871.4;51119.9;21657.6;3050.8;46204.8
2017;8.10605;64.71587;21862.8;51188.1;21644.4;3082.8;46284.3
2018;8.19403;64.76249;21854.2;51256.2;21631.1;3114.8;46363.7
2019;8.28207;64.80893;21845.7;51324.5;21617.8;3146.8;46443.2
2020;8.37018;64.8552;21837.2;51392.8;21604.6;3178.8;46522.6
